Date,Close,Volume
1992-06-26,0.2526959776878357,224358400
1992-06-29,0.2703253328800201,58732800
1992-06-30,0.2615101933479309,34777600
1992-07-01,0.2673872411251068,18316800
1992-07-02,0.2673872411251068,13996800
1992-07-06,0.2673872411251068,5753600
1992-07-07,0.2673872411251068,10662400
1992-07-08,0.2615101933479309,15500800
1992-07-09,0.2703253328800201,3923200
1992-07-10,0.2732635140419006,11040000
1992-07-13,0.279140442609787,5996800
1992-07-14,0.279140442609787,17062400
1992-07-15,0.2879556715488434,4992000
1992-07-16,0.307054340839386,17062400
1992-07-17,0.3232153654098511,15667200
1992-07-20,0.3261535465717315,19744000
1992-07-21,0.3290917575359344,7782400
1992-07-22,0.3261535465717315,10892800
1992-07-23,0.3320298492908478,10387200
1992-07-24,0.3349687755107879,7052800
1992-07-27,0.3423141539096832,11430400
1992-07-28,0.3290917575359344,18009600
1992-07-29,0.3129312396049499,30848000
1992-07-30,0.311462253332138,11737600
1992-07-31,0.3129312396049499,6886400
1992-08-03,0.3158694803714752,4832000
1992-08-04,0.3217456638813019,6822400
1992-08-05,0.3085233569145202,9516800
1992-08-06,0.3085233569145202,3673600
1992-08-07,0.3202766180038452,8825600
1992-08-10,0.3202766180038452,5888000
1992-08-11,0.3232153654098511,4147200
1992-08-12,0.3085233569145202,12736000
1992-08-13,0.3085233569145202,48320000
1992-08-14,0.2908936738967895,17849600
1992-08-17,0.2967700958251953,2681600
1992-08-18,0.2938318848609924,2860800
1992-08-19,0.2938318848609924,2380800
1992-08-20,0.2908936738967895,2489600
1992-08-21,0.285016804933548,2048000
1992-08-24,0.2879556715488434,6905600
1992-08-25,0.285016804933548,4128000
1992-08-26,0.2820786237716675,19385600
1992-08-27,0.2879556715488434,6169600
1992-08-28,0.2938318848609924,3417600
1992-08-31,0.2923628091812134,4441600
1992-09-01,0.2967700958251953,2387200
1992-09-02,0.3246844708919525,11692800
1992-09-03,0.3349687755107879,16480000
1992-09-04,0.3379068970680237,4249600
1992-09-08,0.3658206760883331,17139200
1992-09-09,0.3614133596420288,25299200
1992-09-10,0.3584752976894378,8889600
